,course,exam
0,Admissions to Universities,"[{'ExamName': 'Central University Entrance Test (CUET) for UG courses', 'Purpose': 'Admission into all UG Programmes in all Central Universities', 'Eligibility': 'Class 12', 'ApplicationMode': 'Online'}, {'ExamName': 'BHU Undergraduate Entrance Test (BHU UET)', 'Purpose': 'Admission in UG programmes in BHU', 'Eligibility': 'Class 12, 12+', 'ApplicationMode': 'Online, By Post'}, {'ExamName': 'Banasthali Vidyapith Admission', 'Purpose': 'Admission in Class 6, 9 & 11, Graduation, Post Graduation', 'Eligibility': 'Class 5, 8, 10 Passed (Only Girls)', 'ApplicationMode': 'Online, Post'}, '', '']"
1,"Agriculture, Management & Hotel Management","[{'ExamName': 'Indian Council of Agricultural Research ICAR AIEEA-UG-PG', 'Purpose': 'Admission in Bachelor, Master Degree Program, SRF (PGS) to Pursuing Ph.D in Agriculture and Allied Sciences at Agricultural Universities', 'Eligibility': 'Class 12, UG, PG', 'ApplicationMode': 'Online'}, {'ExamName': 'Inntegrated Program in Management  Admission Test', 'Purpose': 'Admission in 5 year Integrated program in Management from select IIMs', 'Eligibility': 'Class 12', 'ApplicationMode': 'Online'}, {'ExamName': 'All India Hotel management Entrance Exam NCHMCT JEE', 'Purpose': 'Admission in B.Sc. Hospitality & Hotel Administration', 'Eligibility': 'Class 12', 'ApplicationMode': 'Online'}, '', '']"
2,Engineering,"[{'ExamName': 'JEE Main', 'Purpose': 'Admission in B.E./B.Tech., B.Arch., B.Planning', 'Eligibility': 'Class 12 pass (PCM)', 'ApplicationMode': 'Online'}, {'ExamName': 'JEE Advanced', 'Purpose': 'Admission in UG programmes in IITs', 'Eligibility': 'Class 12 Pass (PCM)', 'ApplicationMode': 'Online'}, {'ExamName': 'UGEE', 'Purpose': 'Admission in Dual Degree (B.Tech + MSc. by Research) programmes at IIIT Hyderabad', 'Eligibility': 'Class 12 Pass (PCM)', 'ApplicationMode': 'Online'}, {'ExamName': 'BITSAT', 'Purpose': 'Admission in Integrated First Degree programmes in BITS Pilani, Goa & Hyderabad campuses', 'Eligibility': 'Class 12 pass (PCM)', 'ApplicationMode': 'Online'}, '']"
3,Marine,"[{'ExamName': 'Indian Maritime University Common Entrance Test', 'Purpose': 'Admission in Diploma in Nautical Science (DNS) leading to BSc. (Nautical Science)', 'Eligibility': 'Class 12 (PCM)', 'ApplicationMode': 'Online'}, {'ExamName': 'Indian Navy B.Tech Entry Scheme', 'Purpose': 'Admission in Indian Navy B.Tech course', 'Eligibility': 'Class 12 passed', 'ApplicationMode': 'Online'}, {'ExamName': 'Indian Navy Sailors Recruitment', 'Purpose': 'Admission in 24 weeks Basic training at INS Chilka followed by Professional training', 'Eligibility': 'Class 12 (Maths and Physics/Chem./Bio/Computer Sc.)', 'ApplicationMode': 'Online, By Post'}, {'ExamName': 'Defence Indian Army Technical Entry Scheme (TES)', 'Purpose': 'Technical Entry to Army', 'Eligibility': 'Class 12 PCM', 'ApplicationMode': 'Online'}, '']"
4,Fashion & Design,"[{'ExamName': 'National Institute of Fashion Technology (NIFT) Entrance Test', 'Purpose': 'For Admission in Design, Management and Technology for the international fashion business', 'Eligibility': 'Class 12, 12+, Graduate', 'ApplicationMode': 'Online, By Post'}, {'ExamName': 'National Institute of Design Admissions', 'Purpose': 'Admission to 4 year GDPD & 2.5 Year PGDPD', 'Eligibility': 'Class 12, 12+, G', 'ApplicationMode': 'By Post'}, {'ExamName': 'All India Entrance Examination for Design (AIEED)', 'Purpose': 'Admission in 4 years UG level programmes in Design', 'Eligibility': 'Class 11, 12', 'ApplicationMode': 'Online'}, '', '']"
5,Humanity & Social Sciences,"[{'ExamName': 'IIT Madras Humanities and Social Sciences Entrance Examination (HSEE)', 'Purpose': 'Admission in integrated Master of Arts (M.A.) programme', 'Eligibility': 'Class 12', 'ApplicationMode': 'Online'}, {'ExamName': 'TISS Bachelors Admission Test (TISS-BAT)', 'Purpose': 'Admission in B.A. Social Sciences programme in any of three Campuses i.e. Tuljapur, Guwahati and Hyderabad', 'Eligibility': 'Class 12, 12+', 'ApplicationMode': 'Online'}, {'ExamName': 'LanguageThe English and Foreign Languages University Hyderabad Entrance Test', 'Purpose': 'Admission for BA (Hons.) in English, Arabic, French, German, Russian and Spanish BCJ, B.Ed. (English)', 'Eligibility': 'Class 12, G, PG', 'ApplicationMode': 'Online'}, '', '']"
6,Law,"[{'ExamName': 'Common Law Admission Test', 'Purpose': 'Admission in B.A. LL.B (Hons), B.Com. (Hons), BBA LL.B (Hons)', 'Eligibility': 'Class 12, 12+', 'ApplicationMode': 'Online, By Post'}, {'ExamName': 'All India Law Entrance Test (AILET)', 'Purpose': 'Admission in B.A., LL.B. (Hons.), LLM, PhD', 'Eligibility': 'Class 12, 12+, LLB, LLM', 'ApplicationMode': 'Online, By Post'}, '', '', '']"
7,"Marine, Navy, Defence","[{'ExamName': 'Indian Navy B.Tech Entry Scheme', 'Purpose': 'Admission in Indian Navy B.Tech course', 'Eligibility': 'Class 12 passed', 'ApplicationMode': 'Online'}, {'ExamName': 'Indian Navy Sailors Recruitment', 'Purpose': 'Admission in 24 weeks Basic training at INS Chilka followed by Professional training', 'Eligibility': 'Class 12 (Maths and Physics/Chem./Bio/Computer Sc.)', 'ApplicationMode': 'Online, By Post'}, {'ExamName': 'Defence Indian Army Technical Entry Scheme (TES)', 'Purpose': 'Technical Entry to Army', 'Eligibility': 'Class 12 PCM', 'ApplicationMode': 'Online'}, {'ExamName': 'National Defence Academy and Naval Academy Examination (I)', 'Purpose': 'Admission to Army and Air Force wings of NDA and 4 years B. Tech course for the Indian Naval Academy Course (INAC)', 'Eligibility': 'Class 12, 12 Passed', 'ApplicationMode': 'Online'}, '']"
8,Mathematics,"[{'ExamName': 'Chennai Mathematical Institute (CMI) Admission', 'Purpose': 'Admission in B.Sc. (Hons.) Programmes', 'Eligibility': 'Class 12', 'ApplicationMode': 'Online'}, {'ExamName': 'Indian Statistical Institute Admission', 'Purpose': 'Admission in B Stat (Hons), B Math (Hons), M Stat, M Math, MS (QE), MS (LIS), M Tech (CS), M Tech (QROR) and Research Fellowships', 'Eligibility': 'Class 12 (Maths, English)', 'ApplicationMode': 'Online, By Post'}, '', '', '']"
9,Medical,"[{'ExamName': 'National Eligibility Cum Entrance Test (NEET)', 'Purpose': 'Admission to MBBS / BDS', 'Eligibility': 'Class 12 (PCB)', 'ApplicationMode': 'Online'}, '', '', '', '']"
10,Other Entrance Tests and Exams,"[{'ExamName': 'All India Entrance Examination for Design (AIEED)', 'Purpose': 'Admission in 4 years UG level programmes in Design', 'Eligibility': 'Class 11, 12', 'ApplicationMode': 'Online'}, {'ExamName': 'Indian Maritime University Common Entrance Test', 'Purpose': 'Admission in Diploma in Nautical Science (DNS) leading to BSc. (Nautical Science)', 'Eligibility': 'Class 12 (PCM)', 'ApplicationMode': 'Online'}, {'ExamName': 'National Defence Academy and Naval Academy Examination (I)', 'Purpose': 'Admission to Army and Air Force wings of NDA and 4 years B. Tech course for the Indian Naval Academy Course (INAC)', 'Eligibility': 'Class 12, 12 Passed', 'ApplicationMode': 'Online'}, '', '']"
11,Pure Science,"[{'ExamName': 'Indian Institutes of Science Education and Research', 'Purpose': 'Admissions to 5 year BS-MS Degree Programme', 'Eligibility': 'Class 12', 'ApplicationMode': 'Online'}, {'ExamName': 'National Entrance Screening Test (NEST)', 'Purpose': 'Admission in 5 year integrated M.Sc. programme in Biological, Chemical, Mathematical and Physical sciences in NISER or UM-DAE CBS', 'Eligibility': 'Class 12 (PCMB)', 'ApplicationMode': 'Online, By Post'}, '', '', '']"
